253	243	228	208	192	183	167	153	137	123	107	93	77	52	28	3
249	237	217	202	177	158	147	128	117	98	87	68	62	43	37	17
238	224	218	203	178	168	148	138	118	108	88	78	63	38	23	8
254	244	229	209	193	184	154	139	124	109	94	79	54	53	29	18
239	219	194	179	169	149	129	119	99	89	69	64	44	39	19	4
245	220	204	195	170	159	140	130	110	100	80	70	55	30	24	9
230	210	185	180	160	150	131	120	101	90	71	46	45	25	10	0
250	240	225	205	186	171	161	141	111	95	81	65	56	40	31	11
246	231	221	211	197	196	172	155	142	125	112	82	57	32	20	5
232	212	206	187	181	162	151	132	121	102	91	72	47	26	12	1
251	241	226	213	188	173	163	143	133	113	103	83	73	48	33	13
247	233	222	198	199	156	144	126	114	96	84	66	58	41	21	6
234	214	207	189	174	164	152	134	122	104	92	74	59	49	34	14
252	242	227	215	190	182	165	145	135	115	105	85	75	50	27	2
255	235	223	200	175	157	127	97	86	67	61	60	42	35	22	15
248	236	216	201	191	176	166	146	136	116	106	76	51	36	16	7
